Category,Entry
Architecture,"St Botolph's Church, Quarrington"
Architecture,"St Denys' Church, Sleaford"
Architecture,St Donat's Castle
Architecture,"St Helen's Church, Ashby-de-la-Zouch"
Architecture,"St James' Church, Sydney"
Architecture,St Melangell's Church
Architecture,"St Nicholas, Blakeney"
Architecture,Stanford Memorial Church
Architecture,Surrogate's Courthouse
Architecture,The Tower House
Architecture,Tower of London
Architecture,Trump International Hotel and Tower (Chicago)
Architecture,Tweed Courthouse
Architecture,"Valley View (Romney, West Virginia)"
Architecture,Villard Houses
Architecture,Warkworth Castle
Architecture,Warwick Castle
Architecture,Wells Cathedral
Architecture,West Wycombe Park
Architecture,Western Chalukya architecture
Architecture,Williamsburgh Savings Bank Tower
Architecture,Windsor Castle
Art,Anthony Roll
Art,Book of Kells
Art,Boydell Shakespeare Gallery
Art,Cadaver Tomb of René of Chalon
Art,The Cloisters
Art,Clonmacnoise Crozier
Art,Cloud Gate
Art,Crown Fountain
Art,The Disasters of War
Art,Dürer's Rhinoceros
Art,Early Netherlandish painting
Art,Empire of the Sultans
Art,Equestrian statue of Edward Horner
Art,Fountain of Time
Art,The Four Stages of Cruelty
Art,Funerary art
Art,Gothic boxwood miniature
Art,Hajj: Journey to the Heart of Islam
Art,Holy Thorn Reliquary
Art,Hours of Mary of Burgundy
Art,The Minute Man
Art,Mosaics of Delos
Art,Museum of Bad Art
Art,Olmec colossal heads
Art,Oviri
Art,Portraits of Odaenathus
Art,Royal Gold Cup
Art,Soiscél Molaisse
Art,St Cuthbert Gospel
Art,Statue of Liberty
Art,Sutton Hoo Helmet (sculpture)
Art,Three Beauties of the Present Day
Art,Tomb of Antipope John XXIII
Art,Tomb of Philippe Pot
Art,Ukiyo-e
Art,Waddesdon Bequest
Art,Weather Machine
Paintings,After the Deluge (painting)
Paintings,Annunciation (Memling)
Paintings,Beaune Altarpiece
Paintings,Beauty Revealed
Paintings,The Battle of Alexander at Issus
Paintings,The Blind Leading the Blind
Paintings,Britomart Redeems Faire Amoret
Paintings,"Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed"
Paintings,The Colossus of Rhodes (Dalí)
Paintings,The Combat: Woman Pleading for the Vanquished
Paintings,"Crucifix (Cimabue, Santa Croce)"
Paintings,Crucifixion and Last Judgement diptych
Paintings,The Dawn of Love (painting)
Paintings,The Destroying Angel and Daemons of Evil Interrupting the Orgies of the Vicious and Intemperate
Paintings,Dresden Triptych
Paintings,Drowning Girl
Paintings,The Entombment (Bouts)
Paintings,An Experiment on a Bird in the Air Pump
Paintings,The Founding Ceremony of the Nation
Paintings,Four Freedoms (Rockwell)
Paintings,Four Times of the Day
Paintings,Fragment of a Crucifixion
Paintings,Freedom from Want
Paintings,Freedom of Worship (painting)
Paintings,Funerary Monument to Sir John Hawkwood
Paintings,The Garden of Earthly Delights
Paintings,The Goldfinch (painting)
Paintings,Head VI
Paintings,Hope (Watts)
Paintings,Las Meninas
Paintings,Léal Souvenir
Paintings,Look Mickey
Paintings,Madonna in the Church
Paintings,The Magdalen Reading
Paintings,Marriage License
Paintings,Migration of the Serbs (painting)
Paintings,Musidora: The Bather 'At the Doubtful Breeze Alarmed'
Paintings,Nativity (Christus)
Paintings,Pope Paul III and His Grandsons
Paintings,Portrait Diptych of Dürer's Parents
Paintings,Portrait of a Lady (van der Weyden)
Paintings,Portrait of Maria Portinari
Paintings,Portrait of Mariana of Austria
Paintings,Portrait of Monsieur Bertin
Paintings,Portrait of a Musician
Paintings,Portrait of a Young Girl (Christus)
Paintings,Preparing for a Fancy Dress Ball
Paintings,The Princesse de Broglie
Paintings,The Raft of the Medusa
Paintings,Rokeby Venus
Paintings,Saint Francis Receiving the Stigmata (van Eyck)
Paintings,Saint Luke Drawing the Virgin
Paintings,September Morn
Paintings,The Sirens and Ulysses
Paintings,Streatham portrait
Paintings,The Swimming Hole
Paintings,The Thankful Poor
Paintings,The Third of May 1808
Paintings,Three Studies for Figures at the Base of a Crucifixion
Paintings,Tornado over Kansas
Paintings,"Triptych, May"
Paintings,June 1973
Paintings,The Triumph of Cleopatra
Paintings,Virgin and Child Enthroned (van der Weyden)
Paintings,Virgin and Child with Canon van der Paele
Paintings,Warlugulong
Paintings,Whaam!
Paintings,Witches' Sabbath (The Great He-Goat)
Paintings,The World Before the Flood
Paintings,The Wrestlers (Etty)
Paintings,"Youth on the Prow, and Pleasure at the Helm"
Paintings,Bronwyn Bancroft
Paintings,Edward Mitchell Bannister
Paintings,Felice Beato
Paintings,Jean Bellette
Paintings,Matthew Brettingham
Paintings,William Bruce (architect)
Paintings,William Burges
Paintings,V. Gordon Childe
Paintings,O. G. S. Crawford
Paintings,Edward Thomas Daniell
Paintings,Homer Davenport
Paintings,John Doubleday (restorer)
Paintings,William Etty
Paintings,Alison Frantz
Paintings,DeLancey W. Gill
Paintings,Lisa del Giocondo
Paintings,John Douglas (English architect)
Paintings,El Greco
Paintings,Stefan Lochner
Paintings,Adolfo Farsari
Paintings,Florence Fuller
Paintings,Caspar David Friedrich
Paintings,Peter van Geersdaele
Paintings,Vincent van Gogh
Paintings,Ima Hogg
Paintings,Charles Holden
Paintings,Hu Zhengyan
Paintings,Panagiotis Kavvadias
Paintings,Osbert Lancaster
Paintings,James B. Longacre
Paintings,Spyridon Marinatos
Paintings,Herbert Maryon
Paintings,Danie Mellor
Paintings,Benjamin F. McAdoo
Paintings,Benjamin Mountfort
Paintings,Margaret Murray
Paintings,George E. Mylonas
Paintings,Daisy Jugadai Napaltjarri
Paintings,Wintjiya Napaltjarri
Paintings,Makinti Napanangka
Paintings,Hilda Rix Nicholas
Paintings,Bronwyn Oliver
Paintings,Robert Peake the Elder
Paintings,I. M. Pei
Paintings,Kyriakos Pittakis
Paintings,Minnie Pwerle
Paintings,Ludwig Ross
Paintings,Jacob van Ruisdael
Paintings,Martin Rundkvist
Paintings,Edmund Sharpe
Paintings,Constance Stokes
Paintings,John Thirtle
Paintings,Tom Thomson
Paintings,George Vincent (painter)
Paintings,Alan Wace
Paintings,Mortimer Wheeler
Paintings,Nigel Williams (conservator)
Paintings,Rudolf Wolters
Paintings,John Michael Wright
Biology,Archaea
Biology,Bacteria
Biology,Bone Wars
Biology,Cooperative pulling paradigm
Biology,Cretaceous
Biology,Paleogene extinction event
Biology,DNA
Biology,DNA nanotechnology
Biology,Ediacaran biota
Biology,Evolution
Biology,Fauna of Scotland
Biology,Fertilisation of Orchids
Biology,Flight feather
Biology,Flora of Madagascar
Biology,Genetics
Biology,History of biology
Biology,History of evolutionary thought
Biology,Immune system
Biology,Introduction to viruses
Biology,Lemurs of Madagascar (book)
Biology,Major urinary proteins
Biology,Metabolism
Biology,On the Origin of Species
Biology,Phagocyte
Biology,Preening
Biology,RNA interference
Biology,Rotating locomotion in living systems
Biology,Serpin
Biology,Toothcomb
Biology,Virus
Biology,Wells and Wellington affair
Fungi,Agaricus deserticola
Fungi,Albatrellus subrubescens
Fungi,Amanita bisporigera
Fungi,Amanita muscaria
Fungi,Amanita ocreata
Fungi,Amanita phalloides
Fungi,Armillaria gallica
Fungi,Armillaria luteobubalina
Fungi,Astraeus hygrometricus
Fungi,Auriscalpium vulgare
Fungi,Boletus aereus
Fungi,Boletus edulis
Fungi,Caloboletus calopus
Fungi,Calostoma cinnabarinum
Fungi,Calvatia sculpta
Fungi,Chalciporus piperatus
Fungi,Chorioactis
Fungi,Clathrus ruber
Fungi,Coprinellus micaceus
Fungi,Cortinarius caperatus
Fungi,Cortinarius violaceus
Fungi,Cyathus
Fungi,Dendrocollybia
Fungi,Entoloma sinuatum
Fungi,Exsudoporus frostii
Fungi,Fungus
Fungi,Galerina marginata
Fungi,Geastrum quadrifidum
Fungi,Geastrum triplex
Fungi,Gomphus clavatus
Fungi,Gymnopilus maritimus
Fungi,Gyromitra esculenta
Fungi,Hydnellum peckii
Fungi,Hydnum repandum
Fungi,Hygrophoropsis aurantiaca
Fungi,Imleria badia
Fungi,Imperator torosus
Fungi,Inocybe saliceticola
Fungi,Lactarius indigo
Fungi,Lactarius torminosus
Fungi,Lactifluus volemus
Fungi,Lycoperdon echinatum
Fungi,Lycoperdon perlatum
Fungi,Marasmius rotula
Fungi,Morchella rufobrunnea
Fungi,Mycena aurantiomarginata
Fungi,Mycena haematopus
Fungi,Myriostoma
Fungi,Omphalotus nidiformis
Fungi,Panellus stipticus
Fungi,Paxillus involutus
Fungi,Phallus indusiatus
Fungi,Phellinus ellipsoideus
Fungi,Polyozellus
Fungi,Psilocybe aztecorum
Fungi,Psilocybe semilanceata
Fungi,Ramaria botrytis
Fungi,Rhodotus
Fungi,Russulaceae
Fungi,Russula emetica
Fungi,Russula virescens
Fungi,Sarcoscypha coccinea
Fungi,Suillellus luridus
Fungi,Suillus bovinus
Fungi,Suillus brevipes
Fungi,Suillus luteus
Fungi,Suillus pungens
Fungi,Suillus salmonicolor
Fungi,Suillus spraguei
Fungi,Teloschistaceae
Fungi,Tricholoma pardinum
Fungi,Turbinellus floccosus
Fungi,Tylopilus felleus
Fungi,Verpa bohemica
Fungi,Xeromphalina setulipes
Plants,Acacia pycnantha
Plants,Adenanthos cuneatus
Plants,Adenanthos obovatus
Plants,Adiantum viridimontanum
Plants,Ailanthus altissima
Plants,Aiphanes
Plants,Alloxylon flammeum
Plants,Alloxylon pinnatum
Plants,Banksia aculeata
Plants,Banksia attenuata
Plants,Banksia aemula
Plants,Banksia aquilonia
Plants,Banksia blechnifolia
Plants,Banksia brownii
Plants,Banksia caleyi
Plants,Banksia canei
Plants,Banksia coccinea
Plants,Banksia cuneata
Plants,Banksia dentata
Plants,Banksia epica
Plants,Banksia ericifolia
Plants,Banksia grossa
Plants,Banksia ilicifolia
Plants,Banksia integrifolia
Plants,Banksia lemanniana
Plants,Banksia marginata
Plants,Banksia menziesii
Plants,Banksia oblongifolia
Plants,Banksia paludosa
Plants,Banksia petiolaris
Plants,Banksia prionotes
Plants,Banksia scabrella
Plants,Banksia sceptrum
Plants,Banksia serrata
Plants,Banksia sessilis
Plants,Banksia speciosa
Plants,Banksia sphaerocarpa
Plants,Banksia spinulosa
Plants,Banksia telmatiaea
Plants,Banksia verticillata
Plants,Banksia violacea
Plants,Brachychiton rupestris
Plants,Cucurbita
Plants,Dracophyllum fiordense
Plants,Drosera regia
Plants,Epacris impressa
Plants,Ficus aurea
Plants,Ficus macrophylla
Plants,Ficus obliqua
Plants,Ficus rubiginosa
Plants,Grevillea juniperina
Plants,Hypericum sechmenii
Plants,Isopogon anemonifolius
Plants,Isopogon anethifolius
Plants,Lambertia formosa
Plants,Metrosideros bartlettii
Plants,Persoonia lanceolata
Plants,Persoonia levis
Plants,Persoonia linearis
Plants,Persoonia terminalis
Plants,Pinguicula moranensis
Plants,Salvia yangii
Plants,Symphyotrichum lateriflorum
Plants,Telopea oreades
Plants,Telopea speciosissima
Plants,Telopea truncata
Plants,Verbascum thapsus
Plants,Xerochrysum bracteatum
Mammals and stem mammals,Akodon spegazzinii
Mammals and stem mammals,Alcathoe bat
Mammals and stem mammals,Alpine ibex
Mammals and stem mammals,Ambondro mahabo
Mammals and stem mammals,Ambulocetus
Mammals and stem mammals,American Cream Draft
Mammals and stem mammals,Andalusian horse
Mammals and stem mammals,Appaloosa
Mammals and stem mammals,Archaeoindris
Mammals and stem mammals,Babakotia
Mammals and stem mammals,Baleen whale
Mammals and stem mammals,Banker horse
Mammals and stem mammals,Bat
Mammals and stem mammals,Beagle
Mammals and stem mammals,Beaver
Mammals and stem mammals,Beringian wolf
Mammals and stem mammals,Bharattherium
Mammals and stem mammals,Bluebuck
Mammals and stem mammals,Blue whale
Mammals and stem mammals,Bobcat
Mammals and stem mammals,Boulonnais horse
Mammals and stem mammals,Camas pocket gopher
Mammals and stem mammals,Canada lynx
Mammals and stem mammals,Catopsbaatar
Mammals and stem mammals,Cleveland Bay
Mammals and stem mammals,Columbian mammoth
Mammals and stem mammals,Conservation of slow lorises
Mammals and stem mammals,Cougar
Mammals and stem mammals,Cryptoprocta spelea
Mammals and stem mammals,Dermotherium
Mammals and stem mammals,Dire wolf
Mammals and stem mammals,Drymoreomys
Mammals and stem mammals,Durrell's vontsira
Mammals and stem mammals,Dusky dolphin
Mammals and stem mammals,Elephant
Mammals and stem mammals,Elk
Mammals and stem mammals,Eremoryzomys
Mammals and stem mammals,Escalera's bat
Mammals and stem mammals,European hare
Mammals and stem mammals,Euryoryzomys emmonsae
Mammals and stem mammals,Evolution of lemurs
Mammals and stem mammals,False potto
Mammals and stem mammals,Ferugliotheriidae
Mammals and stem mammals,Ferugliotherium
Mammals and stem mammals,Flocke
Mammals and stem mammals,Fork-marked lemur
Mammals and stem mammals,Fossa (animal)
Mammals and stem mammals,Giant anteater
Mammals and stem mammals,Giant eland
Mammals and stem mammals,Giant mouse lemur
Mammals and stem mammals,Giant otter
Mammals and stem mammals,Giraffe
Mammals and stem mammals,Golden-crowned sifaka
Mammals and stem mammals,Golden jackal
Mammals and stem mammals,Gray mouse lemur
Mammals and stem mammals,Haflinger
Mammals and stem mammals,Hammond's rice rat
Mammals and stem mammals,Hartebeest
Mammals and stem mammals,Hippopotamus
Mammals and stem mammals,Homo antecessor
Mammals and stem mammals,Horseshoe bat
Mammals and stem mammals,Humpback whale
Mammals and stem mammals,Icelandic horse
Mammals and stem mammals,Impala
Mammals and stem mammals,Jaguar
Mammals and stem mammals,Javan rhinoceros
Mammals and stem mammals,Javan slow loris
Mammals and stem mammals,Knut (polar bear)
Mammals and stem mammals,Koala
Mammals and stem mammals,Lavanify
Mammals and stem mammals,Lemur
Mammals and stem mammals,Lion
Mammals and stem mammals,Livyatan
Mammals and stem mammals,Lundomys
Mammals and stem mammals,Malagasy mountain mouse
Mammals and stem mammals,Mandrill
Mammals and stem mammals,Marsh rice rat
Mammals and stem mammals,Marwari horse
Mammals and stem mammals,Megabat
Mammals and stem mammals,Mesopropithecus
Mammals and stem mammals,Miniopterus aelleni
Mammals and stem mammals,Miniopterus griveaudi
Mammals and stem mammals,New Forest pony
Mammals and stem mammals,Norman Cob
Mammals and stem mammals,Noronhomys
Mammals and stem mammals,Northern voalavo
Mammals and stem mammals,North Ronaldsay sheep
Mammals and stem mammals,Olympic marmot
Mammals and stem mammals,Orangutan
Mammals and stem mammals,Orca
Mammals and stem mammals,Oryzomys
Mammals and stem mammals,Oryzomys antillarum
Mammals and stem mammals,Oryzomys couesi
Mammals and stem mammals,Oryzomys dimidiatus
Mammals and stem mammals,Oryzomys gorgasi
Mammals and stem mammals,Oryzomys peninsulae
Mammals and stem mammals,Paraceratherium
Mammals and stem mammals,Pennatomys
Mammals and stem mammals,Percheron
Mammals and stem mammals,Petter's big-footed mouse
Mammals and stem mammals,Pinniped
Mammals and stem mammals,Pipistrellus raceyi
Mammals and stem mammals,Platypus
Mammals and stem mammals,Plesiorycteropus
Mammals and stem mammals,Poitevin horse
Mammals and stem mammals,Polar bear
Mammals and stem mammals,Primate
Mammals and stem mammals,Pseudoryzomys
Mammals and stem mammals,Pygmy hippopotamus
Mammals and stem mammals,Quagga
Mammals and stem mammals,Raccoon
Mammals and stem mammals,Red panda
Mammals and stem mammals,Right whale
Mammals and stem mammals,Ring-tailed lemur
Mammals and stem mammals,Rodent
Mammals and stem mammals,Ruffed lemur
Mammals and stem mammals,Sea mink
Mammals and stem mammals,Sea otter
Mammals and stem mammals,Seorsumuscardinus
Mammals and stem mammals,Sheep
Mammals and stem mammals,Short-beaked echidna
Mammals and stem mammals,Silky sifaka
Mammals and stem mammals,Slow loris
Mammals and stem mammals,Small-toothed sportive lemur
Mammals and stem mammals,Smilodon
Mammals and stem mammals,Solo Man
Mammals and stem mammals,South Asian river dolphin
Mammals and stem mammals,Springbok
Mammals and stem mammals,Steller's sea cow
Mammals and stem mammals,Strepsirrhini
Mammals and stem mammals,Subfossil lemur
Mammals and stem mammals,Suffolk Punch
Mammals and stem mammals,Sumatran rhinoceros
Mammals and stem mammals,Tammar wallaby
Mammals and stem mammals,Tasmanian devil
Mammals and stem mammals,Taxonomy of lemurs
Mammals and stem mammals,Thomasomys ucucha
Mammals and stem mammals,Thoroughbred
Mammals and stem mammals,Thylacine
Mammals and stem mammals,Tiger
Mammals and stem mammals,Trait du Nord
Mammals and stem mammals,Transandinomys
Mammals and stem mammals,Transandinomys bolivaris
Mammals and stem mammals,Transandinomys talamancae
Mammals and stem mammals,Triaenops menamena
Mammals and stem mammals,Viatkogorgon
Mammals and stem mammals,Voalavo
Mammals and stem mammals,Wolf
Mammals and stem mammals,Woolly mammoth
Mammals and stem mammals,Zebra
Birds,African crake
Birds,African river martin
Birds,Alpine chough
Birds,American goldfinch
Birds,American white ibis
Birds,Andean condor
Birds,Antbird
Birds,Arctic tern
Birds,Atlantic puffin
Birds,Australasian gannet
Birds,Australian boobook
Birds,Australian magpie
Birds,Australian raven
Birds,Aylesbury duck
Birds,Bald eagle
Birds,Banded stilt
Birds,Barn swallow
Birds,Bee-eater
Birds,Bird
Birds,Banded broadbill
Birds,Black-and-red broadbill
Birds,Black-and-yellow broadbill
Birds,Black-breasted buttonquail
Birds,Black currawong
Birds,Black honeyeater
Birds,Black-necked grebe
Birds,Black-shouldered kite
Birds,Black stork
Birds,Black-throated loon
Birds,Black vulture
Birds,Blue-faced honeyeater
Birds,Bohemian waxwing
Birds,Brazza's martin
Birds,Broad-billed parrot
Birds,Cactus wren
Birds,California condor
Birds,Canada jay
Birds,Cape sparrow
Birds,Carnaby's black cockatoo
Birds,Cattle egret
Birds,Cherry-throated tanager
Birds,Choiseul pigeon
Birds,Cockatoo
Birds,Common blackbird
Birds,Common chiffchaff
Birds,Common firecrest
Birds,Common raven
Birds,Common starling
Birds,Common tern
Birds,Corn crake
Birds,Crescent honeyeater
Birds,Cuban macaw
Birds,Delichon
Birds,Dodo
Birds,Echo parakeet
Birds,Elfin woods warbler
Birds,Emperor penguin
Birds,Emu
Birds,Eurasian blackcap
Birds,Eurasian crag martin
Birds,Eurasian nuthatch
Birds,Eurasian tree sparrow
Birds,Eurasian treecreeper
Birds,European nightjar
Birds,European rock pipit
Birds,European storm petrel
Birds,Fiji parrotfinch
Birds,Flame robin
Birds,Forest raven
Birds,Frigatebird
Birds,Fulvous whistling duck
Birds,Garden warbler
Birds,Goldcrest
Birds,Golden swallow
Birds,Golden white-eye
Birds,Great auk
Birds,Great cuckoo-dove
Birds,Greater crested tern
Birds,Great spotted woodpecker
Birds,Green rosella
Birds,Grey currawong
Birds,Grey-cowled wood rail
Birds,Guadeloupe amazon
Birds,Hooded pitohui
Birds,Hoopoe starling
Birds,Horned sungem
Birds,Huia
Birds,Inaccessible Island rail
Birds,Indian roller
Birds,Invisible rail
Birds,Kelenken
Birds,Kererū
Birds,Killdeer
Birds,King Island emu
Birds,King vulture
Birds,Large rock martin
Birds,Laysan honeycreeper
Birds,Lesser Antillean macaw
Birds,Letter-winged kite
Birds,Long-tailed ground roller
Birds,Macaroni penguin
Birds,Madeira firecrest
Birds,Mangrove swallow
Birds,Markham's storm petrel
Birds,Mascarene grey parakeet
Birds,Mascarene martin
Birds,Mascarene parrot
Birds,Masked booby
Birds,Masked shrike
Birds,Mauritius blue pigeon
Birds,Mauritius sheldgoose
Birds,Mistle thrush
Birds,Mountain pigeon
Birds,Mourning dove
Birds,Nauru reed warbler
Birds,Newton's parakeet
Birds,Noisy miner
Birds,Northern bald ibis
Birds,Northern gannet
Birds,Northern pintail
Birds,Northern rosella
Birds,Nuthatch
Birds,Pacific swift
Birds,Pale crag martin
Birds,Pallas's leaf warbler
Birds,Papuan mountain pigeon
Birds,Passenger pigeon
Birds,Peregrine falcon
Birds,Perijá tapaculo
Birds,Pelican
Birds,Pied butcherbird
Birds,Pied currawong
Birds,Pigeon guillemot
Birds,Pitta
Birds,Procellariidae
Birds,Przevalski's nuthatch
Birds,Puerto Rican amazon
Birds,Rainbow pitta
Birds,Red-backed fairywren
Birds,Red-billed chough
Birds,Red-billed quelea
Birds,Red-billed tropicbird
Birds,Red-capped parrot
Birds,Red-capped robin
Birds,Red-headed myzomela
Birds,Red-necked grebe
Birds,Red-tailed black cockatoo
Birds,Red-tailed tropicbird
Birds,Red-throated loon
Birds,Red-throated wryneck
Birds,Red-winged fairywren
Birds,Red rail
Birds,Red warbler
Birds,Red wattlebird
Birds,Réunion ibis
Birds,Réunion swamphen
Birds,Ring ouzel
Birds,Rock parrot
Birds,Rodrigues night heron
Birds,Rodrigues parrot
Birds,Rodrigues rail
Birds,Rodrigues solitaire
Birds,Rodrigues starling
Birds,Ruff (bird)
Birds,Rufous-crowned sparrow
Birds,Russet sparrow
Birds,Saxaul sparrow
Birds,Scarlet myzomela
Birds,Secretarybird
Birds,Seychelles parakeet
Birds,Siberian accentor
Birds,Sind sparrow
Birds,Snoring rail
Birds,Snowy plover
Birds,Song thrush
Birds,Splendid fairywren
Birds,Spotted green pigeon
Birds,St. Croix macaw
Birds,Superb fairywren
Birds,Tahiti rail
Birds,Tawny owl
Birds,Tern
Birds,Titanis
Birds,Tree swallow
Birds,Trocaz pigeon
Birds,Tufted jay
Birds,Turkey vulture
Birds,Turquoise parrot
Birds,Variegated fairywren
Birds,Vermilion flycatcher
Birds,Water rail
Birds,Water pipit
Birds,Western barn owl
Birds,Western house martin
Birds,Western jackdaw
Birds,Western yellow robin
Birds,White stork
Birds,White swamphen
Birds,White-bellied sea eagle
Birds,White-breasted nuthatch
Birds,White-eyed river martin
Birds,White-headed fruit dove
Birds,White-naped xenopsaris
Birds,White-necked rockfowl
Birds,White-rumped swallow
Birds,White-winged fairywren
Birds,Willie wagtail
Birds,Wood stork
Birds,Yellow-faced honeyeater
Birds,Yellowhammer
Birds,Yellow-tailed black cockatoo
Birds,Zapata rail
Birds,Zino's petrel
Non-avian dinosaurs,Achelousaurus
Non-avian dinosaurs,Acrocanthosaurus
Non-avian dinosaurs,Albertosaurus
Non-avian dinosaurs,Allosaurus
Non-avian dinosaurs,Amargasaurus
Non-avian dinosaurs,Ankylosaurus
Non-avian dinosaurs,Apatosaurus
Non-avian dinosaurs,Archaeopteryx
Non-avian dinosaurs,Argentinosaurus
Non-avian dinosaurs,Atrociraptor
Non-avian dinosaurs,Bajadasaurus
Non-avian dinosaurs,Baryonyx
Non-avian dinosaurs,Brachiosaurus
Non-avian dinosaurs,Carnotaurus
Non-avian dinosaurs,Ceratosaurus
Non-avian dinosaurs,Cetiosauriscus
Non-avian dinosaurs,Compsognathus
Non-avian dinosaurs,Daspletosaurus
Non-avian dinosaurs,Deinocheirus
Non-avian dinosaurs,Deinonychus
Non-avian dinosaurs,Dilophosaurus
Non-avian dinosaurs,Diodorus scytobrachion
Non-avian dinosaurs,Diplodocus
Non-avian dinosaurs,Dinosaur
Non-avian dinosaurs,Dromaeosauroides
Non-avian dinosaurs,Duriavenator
Non-avian dinosaurs,Edmontosaurus
Non-avian dinosaurs,Edmontosaurus mummy AMNH 5060
Non-avian dinosaurs,Gallimimus
Non-avian dinosaurs,Giganotosaurus
Non-avian dinosaurs,Gorgosaurus
Non-avian dinosaurs,Herrerasaurus
